date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:57:58	16603/16603	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-40db%22	https://themewagon.github.io/jobentry/job-detail.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/job-detail.html	(from https://themewagon.github.io/jobentry/)
06:57:58	13305/13305	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-33f9%22	https://themewagon.github.io/jobentry/category.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/category.html	(from https://themewagon.github.io/jobentry/)
06:57:59	12960/12960	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-32a0%22	https://themewagon.github.io/jobentry/testimonial.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/testimonial.html	(from https://themewagon.github.io/jobentry/)
06:58:00	10434/10434	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-28c2%22	https://themewagon.github.io/jobentry/404.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/404.html	(from https://themewagon.github.io/jobentry/)
06:58:00	15175/15175	---M-Z	200	added ('OK')	text/html	etag:W/%2263a00740-3b47%22	https://themewagon.github.io/jobentry/contact.html	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/contact.html	(from https://themewagon.github.io/jobentry/)
06:58:00	62287/62287	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-f34f%22	https://themewagon.github.io/jobentry/img/carousel-1.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/carousel-1.jpg	(from https://themewagon.github.io/jobentry/)
06:58:01	41785/41785	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-a339%22	https://themewagon.github.io/jobentry/img/carousel-2.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/carousel-2.jpg	(from https://themewagon.github.io/jobentry/)
06:58:01	23884/23884	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-5d4c%22	https://themewagon.github.io/jobentry/img/about-1.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/about-1.jpg	(from https://themewagon.github.io/jobentry/)
06:58:01	19751/19751	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-4d27%22	https://themewagon.github.io/jobentry/img/about-2.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/about-2.jpg	(from https://themewagon.github.io/jobentry/)
06:58:01	18799/18799	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-496f%22	https://themewagon.github.io/jobentry/img/about-3.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/about-3.jpg	(from https://themewagon.github.io/jobentry/)
06:58:02	24484/24484	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-5fa4%22	https://themewagon.github.io/jobentry/img/about-4.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/about-4.jpg	(from https://themewagon.github.io/jobentry/)
06:58:02	2418/2418	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-972%22	https://themewagon.github.io/jobentry/img/com-logo-1.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/com-logo-1.jpg	(from https://themewagon.github.io/jobentry/)
06:58:02	2592/2592	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-a20%22	https://themewagon.github.io/jobentry/img/com-logo-2.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/com-logo-2.jpg	(from https://themewagon.github.io/jobentry/)
06:58:02	2289/2289	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-8f1%22	https://themewagon.github.io/jobentry/img/com-logo-3.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/com-logo-3.jpg	(from https://themewagon.github.io/jobentry/)
06:58:02	2445/2445	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-98d%22	https://themewagon.github.io/jobentry/img/com-logo-4.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/com-logo-4.jpg	(from https://themewagon.github.io/jobentry/)
06:58:03	2274/2274	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-8e2%22	https://themewagon.github.io/jobentry/img/com-logo-5.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/com-logo-5.jpg	(from https://themewagon.github.io/jobentry/)
06:58:03	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-d7b%22	https://themewagon.github.io/jobentry/img/testimonial-1.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/testimonial-1.jpg	(from https://themewagon.github.io/jobentry/)
06:58:03	3517/3517	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-dbd%22	https://themewagon.github.io/jobentry/img/testimonial-2.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/testimonial-2.jpg	(from https://themewagon.github.io/jobentry/)
06:58:03	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-bfa%22	https://themewagon.github.io/jobentry/img/testimonial-3.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/testimonial-3.jpg	(from https://themewagon.github.io/jobentry/)
06:58:04	3268/3268	---M--	200	added ('OK')	image/jpeg	etag:%2263a00740-cc4%22	https://themewagon.github.io/jobentry/img/testimonial-4.jpg	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/img/testimonial-4.jpg	(from https://themewagon.github.io/jobentry/)
06:58:04	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/jobentry/)
06:58:06	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/jobentry/)
06:58:06	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263a00740-1fdc%22	https://themewagon.github.io/jobentry/lib/wow/wow.min.js	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/lib/wow/wow.min.js	(from https://themewagon.github.io/jobentry/)
06:58:07	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263a00740-8fe%22	https://themewagon.github.io/jobentry/lib/easing/easing.min.js	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/lib/easing/easing.min.js	(from https://themewagon.github.io/jobentry/)
06:58:07	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263a00740-2344%22	https://themewagon.github.io/jobentry/lib/waypoints/waypoints.min.js	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/jobentry/)
06:58:07	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263a00740-a70e%22	https://themewagon.github.io/jobentry/lib/owlcarousel/owl.carousel.min.js	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/jobentry/)
06:58:07	1722/1722	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263a00740-6ba%22	https://themewagon.github.io/jobentry/js/main.js	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/js/main.js	(from https://themewagon.github.io/jobentry/)
06:58:08	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
06:58:09	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
06:58:09	4976/4976	---M--	200	added ('OK')	image/png	etag:%2263a00740-1370%22	https://themewagon.github.io/jobentry/lib/owlcarousel/assets/owl.video.play.png	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/jobentry/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/jobentry/lib/owlcarousel/assets/owl.carousel.min.css)
06:58:10	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/	C:/Users/Paulyn%20Familara/OneDrive/Desktop/template/themewagon.github.io/index.html	(from https://themewagon.github.io/jobentry/css/bootstrap.min.css)
06:58:10	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
